id,road_id,road_name,road_type,country,state,district,contractor_name,contractor_contact,executive_engineer,ee_email,ee_phone,department,total_length_km,construction_date,last_relayed_date,next_maintenance,surface_type,condition_score,condition_label,budget_sanctioned,budget_spent,currency,financial_year,data_source,data_source_label,lat_start,lon_start,lat_end,lon_end,lat_center,lon_center,created_at
1,NH-44,Srinagar–Kanyakumari Highway,NH,India,Tamil Nadu,Chennai,L&T Construction Ltd.,+91-44-6754-3000,Er. Rajesh Kumar,ee.nh44.tn@nhai.gov.in,+91-44-2235-6789,NHAI — Regional Office Chennai,3745.0,1956-01-01,2022-08-15,2025-08-15,Bituminous,6.2,Fair,42000000000.0,38500000000.0,INR,2024-25,https://nhai.gov.in/projects/nh-44-expansion,NHAI Project Portal,34.0839,74.7973,8.0883,77.5385,13.0827,80.2707,2026-05-31 04:39:41.488927
2,NH-48,Delhi–Chennai Highway,NH,India,Karnataka,Bengaluru,Dilip Buildcon Ltd.,+91-80-6754-2000,Er. Priya Venkatesh,ee.nh48.ka@nhai.gov.in,+91-80-2222-7890,NHAI — Regional Office Bengaluru,2807.0,1960-01-01,2023-03-20,2026-03-20,Bituminous,7.8,Good,35000000000.0,33200000000.0,INR,2024-25,https://nhai.gov.in/projects/nh-48,NHAI Project Portal,28.6139,77.209,13.0827,80.2707,12.9716,77.5946,2026-05-31 04:39:41.488927
3,NH-16,Kolkata–Chennai Coastal Highway,NH,India,Andhra Pradesh,Visakhapatnam,KNR Constructions,+91-891-2754-111,Er. Suresh Babu,ee.nh16.ap@nhai.gov.in,+91-891-2266-5432,NHAI — Regional Office Vijayawada,1711.0,1965-01-01,2021-11-10,2024-11-10,Bituminous,4.5,Poor,28000000000.0,18700000000.0,INR,2024-25,https://nhai.gov.in/projects/nh-16-improvement,NHAI Project Portal,22.5726,88.3639,13.0827,80.2707,17.6868,83.2185,2026-05-31 04:39:41.488927
4,NH-19,Delhi–Kolkata Highway (Grand Trunk Road),NH,India,Uttar Pradesh,Varanasi,G R Infraprojects,+91-542-2366-789,Er. Anil Srivastava,ee.nh19.up@nhai.gov.in,+91-542-2506-111,NHAI — Regional Office Lucknow,1435.0,1954-01-01,2020-09-01,2023-09-01,Bituminous,5.1,Fair,31000000000.0,27800000000.0,INR,2024-25,https://nhai.gov.in/projects/nh-19,NHAI Project Portal,28.6139,77.209,22.5726,88.3639,25.3176,82.9739,2026-05-31 04:39:41.488927
5,NH-66,Panvel–Kanyakumari Coastal Highway,NH,India,Kerala,Thiruvananthapuram,Afcons Infrastructure,+91-471-2725-300,Er. Sreekumar P.,ee.nh66.kl@nhai.gov.in,+91-471-2331-456,NHAI — Regional Office Thiruvananthapuram,1622.0,1962-01-01,2023-06-10,2026-06-10,Bituminous,8.3,Good,24000000000.0,23100000000.0,INR,2024-25,https://nhai.gov.in/projects/nh-66,NHAI Project Portal,18.9948,73.112,8.0883,77.5385,10.8505,76.2711,2026-05-31 04:39:41.488927
6,SH-36-MH,Pune–Nashik State Highway,SH,India,Maharashtra,Pune,Sadbhav Engineering,+91-20-6754-9000,Er. Amit Patil,ee.sh36@mahapwd.gov.in,+91-20-2612-3456,Maharashtra Public Works Department,212.0,1990-01-01,2020-06-01,2024-06-01,Bituminous,3.8,Poor,1800000000.0,1200000000.0,INR,2024-25,https://mahapwd.gov.in/road-projects/sh36,Maharashtra PWD Portal,18.5204,73.8567,20.0,73.7898,19.2183,73.863,2026-05-31 04:39:41.488927
7,SH-17-RJ,Jaipur–Ajmer State Highway,SH,India,Rajasthan,Jaipur,HG Infra Engineering,+91-141-2382-567,Er. Mahendra Singh,ee.sh17.rj@rajpwd.gov.in,+91-141-2700-345,Rajasthan Public Works Department,135.0,1985-01-01,2022-02-15,2025-02-15,Bituminous,6.9,Good,950000000.0,920000000.0,INR,2024-25,https://rajpwd.gov.in/sh17-project,Rajasthan PWD Portal,26.9124,75.7873,26.4499,74.6399,26.7005,75.2,2026-05-31 04:39:41.488927
8,MDR-23-TN,Coimbatore–Pollachi District Road,MDR,India,Tamil Nadu,Coimbatore,RR Construction,+91-422-2302-111,Er. Murugan S.,de.mdr23.cbe@tnhighways.gov.in,+91-422-2301-567,Tamil Nadu Highways Department,47.0,2002-01-01,2019-03-15,2023-03-15,Bituminous,2.9,Critical,450000000.0,280000000.0,INR,2024-25,https://tnhighways.gov.in/mdr-projects,Tamil Nadu Highways Portal,11.0168,76.9558,10.6612,77.0166,10.9165,77.006,2026-05-31 04:39:41.488927
9,ODR-04-KA,Mysuru–Hunsur Other District Road,ODR,India,Karnataka,Mysuru,Yellamma Contractors,+91-821-2522-678,Er. Ramesh B.,ae.odr04.mys@kpwd.gov.in,+91-821-2520-234,Karnataka PWD — Mysuru Division,28.5,2008-01-01,2018-07-20,2022-07-20,WBM (Water Bound Macadam),3.4,Poor,220000000.0,140000000.0,INR,2024-25,https://kpwd.gov.in/odr-projects/mysuru,Karnataka PWD Portal,12.2958,76.6394,12.3616,76.2999,12.3182,76.44,2026-05-31 04:39:41.488927
10,VR-07-DL,Karol Bagh–Paharganj Village Road,VR,India,Delhi,Central Delhi,Ashok Construction Co.,+91-11-2358-4567,Er. Deepak Sharma,ee.vr07@delhipwd.gov.in,+91-11-2355-1234,Delhi Public Works Department,3.2,2015-01-01,2023-09-10,2026-09-10,Cement Concrete,8.1,Good,85000000.0,82000000.0,INR,2024-25,https://delhipwd.gov.in/projects/vr07,Delhi PWD Project Tracker,28.6519,77.1909,28.6415,77.2073,28.6467,77.1991,2026-05-31 04:39:41.488927
