id,country,state,district,road_type,department,name,designation,email,phone,office_address
1,India,Tamil Nadu,,NH,NHAI,Er. Rajesh Kumar,Executive Engineer,ee.nh.tn@nhai.gov.in,+91-44-2235-6789,"NHAI Regional Office, Anna Salai, Chennai 600002"
2,India,Karnataka,,NH,NHAI,Er. Priya Venkatesh,Executive Engineer,ee.nh.ka@nhai.gov.in,+91-80-2222-7890,"NHAI Regional Office, Sadashivanagar, Bengaluru 560080"
3,India,Andhra Pradesh,,NH,NHAI,Er. Suresh Babu,Executive Engineer,ee.nh.ap@nhai.gov.in,+91-891-2266-5432,"NHAI Regional Office, MG Road, Vijayawada 520001"
4,India,Maharashtra,,NH,NHAI,Er. Vikram Joshi,Executive Engineer,ee.nh.mh@nhai.gov.in,+91-22-2265-4321,"NHAI Regional Office, Bandra East, Mumbai 400051"
5,India,Uttar Pradesh,,NH,NHAI,Er. Anil Srivastava,Executive Engineer,ee.nh.up@nhai.gov.in,+91-522-2209-100,"NHAI Regional Office, Vibhuti Khand, Lucknow 226010"
6,India,Kerala,,NH,NHAI,Er. Sreekumar P.,Executive Engineer,ee.nh.kl@nhai.gov.in,+91-471-2331-456,"NHAI Regional Office, Pattom, Thiruvananthapuram 695004"
7,India,Delhi,,NH,NHAI,Er. Sanjay Gupta,Executive Engineer,ee.nh.dl@nhai.gov.in,+91-11-2370-4567,"NHAI Headquarters, Sector 10, Dwarka, New Delhi 110075"
8,India,Assam,,NH,NHAI,Er. Biplab Nath,Executive Engineer,ee.nh.as@nhai.gov.in,+91-361-2336-100,"NHAI Regional Office, GS Road, Guwahati 781005"
9,India,Uttarakhand,,NH,NHIDCL,Er. Sudhanshu Rawat,Executive Engineer,ee.nh.uk@nhidcl.in,+91-135-2710-345,"NHIDCL Zonal Office, Rajpur Road, Dehradun 248001"
10,India,Telangana,,NH,NHAI,Er. Ramakrishna Reddy,Executive Engineer,ee.nh.tg@nhai.gov.in,+91-40-6741-2100,"NHAI Regional Office, Begumpet, Hyderabad 500016"
11,India,Maharashtra,,SH,Maharashtra PWD,Er. Amit Patil,Executive Engineer,ee.sh.mh@mahapwd.gov.in,+91-20-2612-3456,"PWD Division Office, Shivajinagar, Pune 411005"
12,India,Tamil Nadu,,SH,TN Highways,Er. Selvam K.,Executive Engineer,ee.sh.tn@tnhighways.gov.in,+91-44-2351-9090,"TN Highways Dept, Chepauk, Chennai 600005"
13,India,Rajasthan,,SH,Rajasthan PWD,Er. Mahendra Singh,Executive Engineer,ee.sh.rj@rajpwd.gov.in,+91-141-2700-345,"PWD Division, Ajmer Road, Jaipur 302006"
14,India,Gujarat,,SH,Gujarat R&B Department,Er. Hitesh Patel,Executive Engineer,ee.sh.gj@gujarat.gov.in,+91-79-2325-4567,"R&B Department, Block No.14, Sachivalaya, Gandhinagar 382010"
15,India,West Bengal,,SH,West Bengal PWD,Er. Subrata Chatterjee,Executive Engineer,ee.sh.wb@wbpwd.gov.in,+91-33-2357-8900,"West Bengal PWD, Writers' Buildings, Kolkata 700001"
16,India,Tamil Nadu,Coimbatore,MDR,TN Highways,Er. Murugan S.,Divisional Engineer,de.mdr.cbe@tnhighways.gov.in,+91-422-2301-567,"Highways Division Office, Race Course, Coimbatore 641018"
17,India,Karnataka,Mysuru,ODR,Karnataka PWD,Er. Ramesh B.,Assistant Engineer,ae.odr.mys@kpwd.gov.in,+91-821-2520-234,"PWD Sub-Division, Nazarbad, Mysuru 570010"
18,India,Telangana,Hyderabad,MDR,Telangana R&B Department,Er. Venkat Rao,Divisional Engineer,de.mdr.ts@tgsrdc.gov.in,+91-40-2340-0100,"Telangana R&B Dept, Tank Bund Road, Hyderabad 500380"
19,India,Odisha,Puri,PMGSY,Odisha Rural Development Department,Er. Prasanta Nayak,Executive Engineer,ee.pmgsy.od@pmgsy.gov.in,+91-674-2560-789,"PMGSY State Cell, Odisha Secretariat, Bhubaneswar 751001"
20,India,Delhi,Central Delhi,VR,Delhi PWD,Er. Deepak Sharma,Executive Engineer,ee.vr@delhipwd.gov.in,+91-11-2355-1234,"Delhi PWD, MSO Building, ITO, New Delhi 110002"
21,India,Karnataka,Bengaluru,VR,BBMP,Er. Suresh Babu G.,Executive Engineer (Roads),ee.roads@bbmp.gov.in,+91-80-2266-0000,"BBMP Head Office, N.R. Square, Bengaluru 560002"
22,India,Maharashtra,Mumbai,VR,BMC,Er. Prakash Naik,Executive Engineer (Roads),ee.roads@mcgm.gov.in,+91-22-2262-0251,"BMC Headquarters, Mahapalika Marg, Mumbai 400001"
23,India,Uttar Pradesh,,Expressway,YEIDA,Er. Vivek Gupta,Executive Engineer,ee@yamunaexpressway.com,+91-565-2521-200,"YEIDA Office, Sector 6, Greater Noida 201306"
24,India,Maharashtra,,Expressway,MSRDC,Er. Sunil Deshmukh,Executive Engineer,ee@msrdc.gov.in,+91-22-2261-6601,"MSRDC Headquarters, Bandra East, Mumbai 400051"
25,United Kingdom,England,,Motorway,National Highways England,David Collins,Regional Director,regional.east@nationalhighways.co.uk,+44-300-123-5001,"National Highways, Bridge House, 1 Walnut Tree Close, Guildford GU1 4LZ"
26,United Kingdom,Scotland,,A-Road,Transport Scotland,Alan MacDonald,Project Director,a9.dualling@transport.gov.scot,+44-141-272-7105,"Transport Scotland, 8 Atlantic Quay, Glasgow G2 8JX"
27,United States,Florida,Miami-Dade,Interstate Highway,FDOT,Maria Rodriguez,District Secretary,district6@dot.state.fl.us,+1-305-470-5301,"FDOT District 6, 1000 NW 111 Avenue, Miami, FL 33172"
